zipcode,Number of Returns,Number of Exemptions,NUMDEP,ELDERLY,Salaries and wages amount
0,147025790,284407960,93313960,34562930,7101762895
1001,8980,15160,3910,2640,384841
1002,9490,16220,4130,3120,463995
1003,170,110,0,0,2261
1005,2370,4400,1240,640,107576
1007,7580,14240,4090,2020,423686
1008,660,1210,280,210,32086
1009,650,1080,270,170,23869
1010,1880,3530,950,560,99346
1011,650,1140,270,180,27090
1012,350,610,140,120,14425
1013,10550,18710,6000,2230,350157
1020,15170,25690,6800,4090,565848
1022,1150,1730,330,480,35981
1026,490,870,200,190,16566
1027,9840,16300,3570,2810,414108
1028,8250,15630,4570,2520,505373
1029,320,540,90,120,14983
1030,6000,10910,3060,1700,292920
1031,500,960,300,120,18289
1032,260,480,100,100,10976
1033,3230,5770,1480,930,161467
1034,1040,1820,440,310,51989
1035,2780,4670,1070,930,131682
1036,2680,4830,1220,920,146807
1037,390,710,170,140,20801
1038,1300,2200,490,500,61714
1039,780,1300,290,280,34968
1040,16540,29360,10040,3330,546052
1050,1290,2300,590,350,56062
1053,880,1480,320,340,37006
1054,960,1740,410,410,44670
1056,10400,18160,4690,3000,471361
1057,4220,7480,1890,1220,202671
1060,7360,11060,2180,2010,352751
1062,5690,10080,2630,1940,278048
1066,200,320,60,80,7806
1068,970,1810,480,270,50435
1069,4100,7050,1770,1020,181370
1070,310,520,90,120,9657
1071,800,1460,420,220,35543
1072,760,1360,350,250,34772
1073,3280,6080,1600,1040,184720
1074,270,510,170,40,8533
1075,8570,14560,3430,2830,418682
1077,4990,8840,2250,1480,271228
1079,420,710,180,120,14311
1080,1180,1970,550,280,39495
1081,880,1550,430,230,36404
1082,5010,8830,2380,1340,197591
1083,1450,2650,760,340,60961
1085,18950,34230,9570,5040,872516
1086,320,520,120,130,12845
1088,330,500,100,110,13041
1089,13980,25400,7520,3500,583007
1092,570,1070,330,140,23518
1093,400,680,140,150,17856
1094,150,290,80,40,6867
1095,7290,13860,4030,2390,473672
1096,1280,2300,530,470,58060
1098,620,1080,210,280,24532
1103,1070,1590,460,160,31161
1104,10230,19150,7550,1650,301920
1105,4030,7860,3570,320,83613
1106,7590,15430,4940,2590,695978
1107,3970,8180,3740,400,108856
1108,11520,22000,8870,1690,346655
1109,11580,21720,8960,1950,304756
1118,7270,12760,3890,1820,288490
1119,5960,10620,3540,1380,207024
1128,1440,2490,590,430,63356
1129,3740,6450,1810,1010,143838
1151,3960,7440,2960,580,114859
1201,22270,37510,10170,6210,850039
1220,4280,7170,1810,1260,145728
1222,440,740,180,120,13869
1223,1150,2010,460,370,47098
1225,1690,2960,710,540,72768
1226,3300,5750,1570,1040,147954
1230,3760,6180,1400,1440,139217
1235,1470,2540,600,450,64836
1236,860,1460,360,290,30821
1237,1550,2690,650,490,66934
1238,3060,5070,1150,1010,120671
1240,2510,4060,850,1150,115325
1242,300,470,100,100,10321
1243,140,210,30,60,5788
1244,170,310,70,60,6253
1245,400,660,130,170,14058
1247,6750,11510,3010,1870,216845
1253,460,740,130,170,17521
1254,600,1030,200,280,31623
1255,330,600,150,110,11563
1256,370,610,130,110,14667
1257,1240,2070,470,470,43845
1258,380,600,90,190,12197
1259,260,430,90,100,7956
1260,150,240,50,50,4627
1262,780,1200,200,390,35418
1264,100,180,30,50,3171
1266,740,1270,280,330,29570
1267,2910,5230,1300,1150,159065
1270,390,700,150,130,18354
1301,8310,13980,3420,2540,291687
1330,750,1310,300,300,29220
1331,6240,11280,3220,1550,235003
1337,1350,2420,540,480,58442
1338,140,230,50,40,5011
1339,730,1280,300,270,22810
1340,870,1600,410,300,30520
1341,830,1510,350,350,39261
1342,700,1290,350,220,35049
1344,780,1410,380,200,29629
1346,180,340,90,60,5436
1349,400,720,210,110,14931
1351,1290,2100,420,430,51754
1354,810,1460,340,260,33628
1355,470,860,220,160,20199
1360,1520,2740,680,500,63723
1364,3490,6250,1800,930,120821
1366,620,1090,260,230,30233
1367,230,410,90,90,7052
1368,570,1080,280,180,23305
1370,2040,3440,740,800,68402
1373,2360,4020,980,840,104971
1375,1840,2850,580,460,76079
1376,2530,4200,1070,750,80847
1378,360,630,140,150,12139
1379,400,670,150,140,11855
1420,18530,33290,10960,3530,691308
1430,3070,5910,1780,810,167332
1431,1600,2950,850,430,81658
1432,4150,7260,1940,940,232323
1434,210,440,150,40,15988
1436,1450,2630,780,310,61265
1438,260,430,90,100,9012
1440,9430,16440,4600,2200,365147
1450,5220,10640,3570,1330,505267
1451,2490,5250,1710,840,292937
1452,2200,4130,1090,580,122781
1453,21390,37850,11290,4760,976761
1460,4820,9570,2950,1310,407427
1462,5670,10730,3110,1560,339224
1463,5800,10830,3120,1440,363251
1464,3100,5650,1590,830,177923
1467,110,190,50,50,9714
1468,2130,3990,1130,510,109158
1469,3650,6820,1950,930,206309
1473,4100,7670,2210,1120,228244
1474,1060,1850,480,290,59196
1475,4690,8680,2610,1000,200796
1501,8720,15670,4340,2470,463754
1503,1610,2890,740,500,113417
1504,4720,8390,2280,1010,252089
1505,2370,4410,1210,690,193304
1506,1620,3000,810,510,80263
1507,6320,12030,3590,1450,386311
1510,7670,12980,3560,1660,360030
1515,1120,2110,580,300,55184
1516,4500,8680,2660,920,283541
1518,1520,3060,1000,380,109586
1519,3520,7010,2230,820,340504
1520,7750,15470,4870,2160,547575
1521,1210,2190,570,320,64859
1522,1800,3360,990,460,113305
1523,3090,5950,1760,860,210769
1524,3390,6100,1700,850,171797
1525,230,390,90,70,8149
1527,7000,12300,3210,1790,371210
1529,1590,2990,940,300,88646
1531,490,920,230,140,24249
1532,7850,15290,4810,2050,670821
1534,3110,5990,1830,670,205611
1535,2280,4210,1170,560,102712
1536,3630,6960,2070,910,284928
1537,1230,2010,490,300,58091
1540,5710,10260,2890,1280,293281
1541,1790,3440,950,610,136178
1542,1160,2080,600,320,54600
1543,4170,8430,2800,900,268171
1545,17900,35830,11570,4290,1498761
1550,8270,14660,4770,1560,298618
1560,2200,4350,1400,380,159878
1561,340,600,130,150,14906
1562,5800,10130,2690,1450,262794
1564,4120,7740,2210,1180,291050
1566,3410,6400,1780,1010,225631
1568,3840,7600,2460,890,340100
1569,6910,12660,3510,1680,409210
1570,8750,15080,4240,2020,360316
1571,5460,10140,3070,1260,268491
1581,9750,19950,6540,2180,940851
1583,3770,6670,1730,1270,209010
1585,2100,3800,970,620,100829
1588,5020,9290,2870,1150,266683
1590,4560,8750,2630,1140,340429
1602,11320,19810,5720,2880,520840
1603,9480,17070,5850,1480,332074
1604,17990,30650,9460,3170,716533
1605,11970,21830,8040,1880,447074
1606,10610,17940,4970,2440,485652
1607,4190,7210,2400,570,152794
1608,1630,2770,1010,160,46633
1609,7440,12620,3660,1810,368082
1610,9010,16390,6460,900,245407
1611,1180,2090,610,240,50233
1612,2310,4430,1330,680,140891
1701,16810,30760,8260,4890,1173379
1702,15960,28010,8410,2860,714849
1718,320,630,210,110,23853
1719,2640,5120,1570,650,269864
1720,10480,22380,7700,2650,1151283
1721,8890,17020,5080,2250,694752
1730,6900,13670,4280,2110,647944
1731,800,2320,1050,0,47177
1740,2510,5410,1840,650,292523
1741,2510,5220,1660,850,370792
1742,8710,17480,5500,3160,1201119
1745,260,450,120,60,20546
1746,7060,14530,4790,1970,632204
1747,3060,5740,1750,780,205407
1748,7880,17120,6130,1730,1038402
1749,10330,18320,4830,2820,594291
1752,20290,36310,10120,4480,1156242
1754,5470,9960,2710,1450,347651
1756,3110,6140,1930,750,266975
1757,14270,26000,7490,3420,767028
1760,17690,34080,10090,4720,1551186
1770,2030,4400,1590,620,356317
1772,4880,10240,3600,1160,654286
1773,2880,5370,1410,1300,364365
1775,3420,7020,2160,1000,335002
1776,8180,18560,6870,2210,1301142
1778,6800,14100,4620,2210,905341
1801,21590,36630,9190,5540,1226211
1803,13270,24800,7030,3780,964119
1810,16250,33780,11360,4230,1921576
1821,16570,29660,8260,3930,1007364
1824,13310,25280,7350,3830,963056
1826,16740,29930,8700,3960,892081
1827,1630,3200,1020,410,141300
1830,12600,21940,6470,2660,562503
1832,12110,21370,6740,2380,549484
1833,4190,8180,2560,1100,326376
1834,3390,6360,1820,990,212557
1835,7550,13320,3900,1750,403519
1840,2350,4170,1650,200,57091
1841,23920,44010,18190,2210,619989
1843,13260,23820,9000,1720,429821
1844,26460,47250,14530,6000,1253052
1845,14470,28050,9040,3760,1237151
1850,7560,13700,4970,1050,267353
1851,15710,28580,10270,2070,609078
1852,16990,29350,9390,2880,722017
1854,11330,19910,6710,1710,437373
1860,3460,6180,1730,960,208397
1862,5050,8930,2400,1170,316197
1863,4830,8620,2370,1350,287996
1864,7870,15060,4580,2020,695337
1867,12690,24870,7740,3730,1096451
1876,16330,28680,7490,4410,1014092
1879,6260,11600,3440,1470,421491
1880,14000,25160,6790,3860,987450
1886,11540,24260,8380,2700,1172320
1887,12140,22530,6590,2930,845921
1890,10330,22340,7900,3090,1482779
1901,900,1480,490,110,28429
1902,21780,40050,15130,3140,720840
1904,10400,18380,5420,2570,488621
1905,12660,23530,8710,1810,452183
1906,14880,25480,6550,4140,744249
1907,7500,14010,4010,2370,653390
1908,1940,3220,680,790,142451
1913,8740,15210,3990,2200,501567
1915,20010,34760,9020,5540,1287719
1921,3860,8030,2620,1100,450891
1922,1630,3040,820,510,125325
1923,14640,25640,6870,4320,868393
1929,1800,3370,980,520,127827
1930,15220,25360,5870,4870,737389
1938,7390,12880,3220,2570,477022
1940,6570,13010,4080,2070,625655
1944,2660,5130,1550,1030,348681
1945,10400,20080,6070,3670,1030332
1949,4400,8230,2430,1290,356321
1950,9430,16750,4450,3190,744778
1951,1900,3380,780,690,152545
1952,4690,7640,1780,1420,218111
1960,28120,47950,12080,8650,1321850
1966,3840,6370,1330,1750,194093
1969,3160,5940,1630,920,223969
1970,22250,36030,8940,5130,1060899
1982,3470,7120,2290,970,364630
1983,3140,6340,2060,1040,321322
1984,1830,3750,1260,560,188853
1985,2230,4410,1290,730,202179
2019,8730,15820,4370,2060,513989
2021,11730,22070,6620,3390,917446
2025,3800,8100,2840,1220,545359
2026,13140,23340,6450,3780,891462
2030,2790,6030,2180,820,632960
2032,2250,4520,1460,590,191178
2035,9260,17060,5020,2380,736541
2038,15940,30830,10000,3620,1356110
2043,11090,23230,7730,4050,1476024
2045,5650,9060,1940,2050,316088
2047,370,540,80,170,15776
2048,12210,23000,7520,2410,931218
2050,12070,22430,6700,3500,832575
2052,5980,12890,4680,1550,791504
2053,6530,12700,4120,1480,528757
2054,4320,7940,2270,1190,281803
2056,4820,9950,3230,1320,481733
2061,5350,11190,3940,1510,588438
2062,15800,27450,7240,4220,904630
2066,9190,17910,5620,2950,818740
2067,8270,18280,6420,2290,893884
2071,490,1010,350,120,38248
2072,14930,26130,7340,3860,771323
2081,9830,19020,5890,2910,814320
2090,7530,15600,5470,2290,1038089
2093,5690,11050,3510,1420,490394
2108,2650,3990,670,770,407560
2109,2710,3870,540,690,362192
2110,2280,3420,590,860,306034
2111,3620,5670,1060,610,477506
2113,4440,5030,300,450,313404
2114,7450,9560,980,1120,804254
2115,7800,9500,1420,970,558912
2116,10860,15080,2020,2210,2094961
2118,13860,20400,4410,1610,1406170
2119,13590,22430,8150,1830,446395
2120,5320,7450,2300,520,171121
2121,12820,22800,9410,1590,370361
2122,12460,20980,6870,1590,508143
2124,25410,43580,15560,3990,978673
2125,17170,27450,8640,2070,698504
2126,12220,20650,7540,2220,410852
2127,21410,28570,4510,2320,1646788
2128,20410,33760,10300,2370,810490
2129,9990,15960,3600,1610,1036424
2130,20260,30280,6300,3370,1314856
2131,16310,27710,8170,3000,845856
2132,14060,24660,6470,4220,999313
2134,10700,12840,1630,760,449060
2135,23160,29920,4300,2660,1118973
2136,18490,31890,11030,3560,784426
2138,14990,22100,3960,3680,1259498
2139,18690,26270,4940,2540,1267247
2140,10590,16970,3980,1950,776608
2141,7130,9940,1620,930,493506
2142,1690,2330,310,270,184145
2143,15340,20550,2790,1760,922616
2144,14590,19330,2520,1860,980639
2145,14490,21690,4770,1780,710122
2148,32220,54300,14440,5550,1406948
2149,22330,38780,12140,3370,815791
2150,18100,32180,11400,1910,636671
2151,27450,47900,14210,5160,1078621
2152,9380,15700,3830,2630,505812
2155,30970,49020,10780,6820,1782350
2163,440,540,60,0,37130
2169,30400,49180,11600,6220,1567270
2170,10700,18040,4340,2380,497146
2171,10260,16520,3530,2530,562774
2176,14580,27160,7550,3810,1144476
2180,12170,21190,5360,3730,748966
2184,19340,35830,10690,5090,1208196
2186,13090,26090,8750,3910,1273233
2188,7660,13240,3400,1990,411180
2189,7800,13370,3700,1850,394275
2190,9410,16180,4120,2650,544674
2191,4570,7580,1750,1410,234456
2199,930,1300,160,300,139078
2210,2750,3620,340,330,475305
2215,6130,6910,530,470,388523
2301,30710,55840,20850,4910,1087608
2302,17080,30960,10840,3050,656215
2322,2420,4310,1280,600,122798
2324,12010,21730,6280,2960,714288
2330,5580,10130,2830,1630,275583
2332,7000,14460,4980,2220,788359
2333,7380,13610,3940,1890,403468
2338,4070,7290,2020,1140,219409
2339,7140,14280,4750,1970,594431
2341,5290,9640,2760,1400,304543
2343,5810,10000,2760,1400,284927
2346,12180,21580,5820,3360,575364
2347,5750,10760,3160,1500,354804
2351,8760,15440,4310,1990,489624
2356,6300,12090,3820,1710,516080
2359,9050,16890,5150,2320,585407
2360,28840,51130,13220,8960,1645671
2364,6700,12550,3770,1810,427247
2366,120,210,30,70,5347
2367,1490,2720,730,420,86105
2368,17790,30880,9580,3870,796944
2370,9410,16290,4420,2390,447490
2375,5330,9600,2770,1420,345233
2379,3750,6820,1950,1060,212462
2382,7620,13880,4170,1670,395061
2420,6890,15150,5270,2170,1028725
2421,8060,17830,6210,2580,1193782
2445,9860,17530,4810,2350,1237618
2446,14080,22290,4790,3250,1327513
2451,9440,15920,3800,2300,610944
2452,6420,10630,2420,1940,400213
2453,14580,23170,5430,2650,826086
2458,6390,11570,3280,1620,667094
2459,8580,17380,5450,2910,1244391
2460,4700,8830,2600,1410,497513
2461,3490,6990,2190,1080,452004
2462,690,1300,390,230,63653
2464,1570,2870,790,400,130355
2465,5800,11770,3810,1640,837097
2466,3410,6440,1880,1010,340491
2467,7640,14450,4150,2670,1124897
2468,2640,5660,1860,920,479845
2472,19050,30110,6220,4600,1236151
2474,14390,26040,6850,3790,1185960
2476,8710,16460,4590,2630,801809
2478,12390,24820,7820,3440,1345210
2481,6900,15080,5680,1980,1640760
2482,4890,10380,3670,1560,892246
2492,9600,20600,7210,3010,1507981
2493,5130,10880,3830,1640,1368009
2494,4750,9740,3230,1430,537164
2532,6020,9970,2350,2030,261341
2534,470,810,140,260,24479
2535,640,1070,240,280,24885
2536,10630,17970,4120,3940,455949
2537,3110,5750,1560,1120,190599
2538,2380,4030,1190,530,87053
2539,3020,4910,1060,910,128368
2540,3960,6270,1090,1900,186403
2542,190,540,220,0,8691
2543,500,690,110,210,20155
2553,550,880,150,270,21795
2554,6280,10070,2440,1290,274578
2556,1940,3310,700,920,101968
2557,1930,3020,600,630,67891
2558,1130,1780,390,420,36102
2559,1770,2830,510,800,79308
2561,430,720,170,150,18005
2562,1790,3070,760,610,97960
2563,5600,9770,2500,1910,313225
2564,220,360,60,90,12520
2568,4350,7000,1580,1290,150899
2571,5470,9120,2280,1600,224512
2575,1180,1960,450,430,44867
2576,2160,3670,870,690,91253
2584,1100,2010,600,190,54698
2601,7950,13050,3440,1810,228125
2630,1110,1900,400,550,62917
2631,5320,8870,1700,2520,204053
2632,5880,9970,2270,2170,260632
2633,2270,3620,570,1150,96870
2635,2010,3450,710,900,100453
2637,280,440,40,180,13783
2638,1730,2750,400,960,76857
2639,1810,2750,570,630,53322
2641,710,1140,130,500,22478
2642,2190,3500,570,1080,71102
2643,570,920,100,390,22246
2644,2220,4190,1310,520,119067
2645,5480,9360,2080,2240,219092
2646,1180,1810,270,630,39227
2647,230,370,60,150,9557
2648,4150,7230,1810,1350,200645
2649,8100,13680,3040,3290,345412
2650,580,820,100,320,16181
2651,780,1190,140,450,21721
2652,650,1010,150,290,24350
2653,2990,4670,760,1470,101787
2655,2010,3270,630,920,102827
2657,2530,3310,310,860,90380
2659,650,1050,200,340,18602
2660,3460,5560,1090,1450,124521
2663,330,480,50,170,7211
2664,5320,8570,1740,2170,175794
2666,640,930,120,310,20620
2667,1600,2460,430,690,55513
2668,1820,3230,830,660,101861
2669,370,580,70,210,13221
2670,870,1250,150,440,30879
2671,690,1030,150,340,22833
2672,280,480,90,140,12482
2673,4640,7520,1700,1600,155371
2675,3710,6110,1000,2040,140344
2702,2190,4100,1110,600,129617
2703,22680,40640,11720,4770,1190796
2715,1780,3530,1110,370,107320
2717,2570,4730,1270,680,140222
2718,3590,6570,1990,690,179923
2719,8250,13970,3460,2460,357568
2720,14220,23830,6520,2980,536921
2721,11480,20380,6620,1770,364467
2723,6590,11480,3690,1030,198856
2724,7490,12990,4060,1210,235795
2725,1320,2320,620,360,56370
2726,8060,14370,3710,2340,389484
2738,2690,5000,1460,950,172818
2739,3530,6240,1560,1340,231163
2740,19130,33100,10800,3480,621402
2743,5350,9630,2550,1380,257985
2744,5200,9460,3430,780,154394
2745,12290,21160,6020,2670,473199
2746,6420,12090,4770,800,175892
2747,9380,16930,4620,2530,486667
2748,5950,10590,2640,2120,344196
2760,13920,25650,7890,2930,910804
2762,4830,8580,2360,1220,299757
2763,1070,2070,660,230,77151
2764,2140,3980,1150,540,119090
2766,9350,16710,4680,2280,579238
2767,7400,13710,4060,1950,442708
2769,6270,11820,3310,1730,394115
2770,2840,5440,1570,800,181996
2771,7650,14270,3930,2140,438759
2777,8570,15340,3900,2430,429935
2779,3380,6410,1960,690,205810
2780,25300,43810,12930,5490,1063144
2790,8440,14930,3650,2610,430503
2791,210,320,40,120,9857
2802,460,700,160,150,21215
2804,1460,2650,740,390,66164
2806,8220,16810,5720,2420,858769
2807,750,1170,220,270,25090
2808,1120,2070,610,230,47150
2809,10160,17300,4120,3110,509375
2812,680,1330,390,170,40257
2813,4080,7060,1580,1400,191380
2814,3810,6860,1760,980,196574
2815,150,240,60,40,6731
2816,16890,29750,7870,4210,826338
2817,3260,6010,1670,820,194285
2818,9790,18080,5230,3080,860200
2822,3140,5570,1400,860,180737
2825,2730,5100,1400,760,145373
2826,460,840,180,130,24593
2827,1100,2080,560,300,58998
2828,3800,6800,1840,1260,212266
2830,3230,5870,1560,780,168349
2831,2080,3920,1110,520,120281
2832,2450,4410,1180,650,122224
2833,310,560,130,100,12951
2835,3060,5180,1140,1290,198150
2837,1780,3070,730,740,82499
2838,1720,3020,940,310,67913
2839,910,1660,500,210,46136
2840,11180,17500,4150,3100,486801
2841,270,260,40,0,6433
2842,8580,14780,3970,2520,403491
2852,12250,21590,5840,3760,708572
2857,4560,8120,2020,1400,249169
2858,290,550,170,50,15507
2859,3020,5500,1530,650,147137
2860,21560,37710,13090,3200,698254
2861,13890,23770,6760,2920,524744
2863,8100,15740,6450,830,202463
2864,17700,32760,9390,4420,1070876
2865,9100,16750,4860,2570,568212
2871,9160,16470,4470,2940,526536
2873,160,260,70,40,6307
2874,3120,5810,1790,890,230550
2875,200,350,90,50,8642
2876,740,1180,240,230,34522
2878,8320,14700,3600,2610,417590
2879,10890,18630,4730,3710,573136
2881,1130,1960,490,380,62310
2882,6380,10050,2050,2530,320583
2885,5480,9210,2300,1520,240925
2886,15190,25770,6450,4340,737801
2888,10820,18040,4420,2940,486835
2889,14930,25570,6630,3750,659454
2891,11580,19490,4830,3540,515706
2892,2670,5030,1430,720,157114
2893,15350,25630,6730,3570,622077
2894,420,760,220,90,17462
2895,18980,33550,10810,3300,652084
2896,5180,9560,2600,1470,299859
2898,1060,1900,490,260,54515
2903,4030,5280,830,710,225992
2904,14700,24790,7300,3390,552958
2905,11830,21140,7620,1920,415741
2906,11920,18850,4060,2850,906408
2907,13360,24810,10110,1280,322518
2908,16830,29700,10670,2240,547710
2909,19170,35550,13940,1740,510511
2910,11640,20090,5960,2420,447798
2911,7980,13350,3610,1920,328999
2914,10830,17990,4960,2450,381717
2915,8900,14640,3460,2470,372533
2916,4550,7870,2040,1310,235430
2917,6140,10680,2700,1810,336586
2919,15130,25860,6960,3910,646044
2920,18130,31210,8890,4940,727617
2921,6200,11710,3450,1630,439067
3031,5920,11670,3500,1710,498089
3032,2910,5730,1700,660,208030
3033,2520,5460,1940,450,208730
3034,2190,3970,960,610,129715
3036,2610,5010,1480,620,180710
3037,2320,4400,1160,560,134897
3038,17900,31870,9250,3420,966646
3042,3770,6750,1750,860,194926
3043,770,1460,370,290,43044
3044,2460,4520,1170,620,132517
3045,7020,12800,3470,1690,395404
3046,1430,2820,770,390,96274
3047,820,1490,390,210,39841
3048,1710,3080,750,440,81716
3049,4150,8180,2460,1230,417570
3051,13500,24090,6580,2990,771024
3052,4350,8200,2380,1050,289582
3053,13040,24610,7460,3050,868318
3054,13990,25580,6990,3300,903344
3055,8200,14490,3970,1860,408672
3057,1280,2470,720,330,93243
3060,14740,24870,7230,2610,571819
3062,15070,26970,6940,3890,1077760
3063,8920,15260,3840,2160,507129
3064,7720,13210,3670,1770,386353
3070,2870,5870,1850,670,186049
3071,2450,4910,1560,530,121838
3076,7190,13540,3940,1620,486758
3077,5620,9840,2500,1200,271130
3079,16000,27710,7120,4220,908501
3082,780,1440,320,220,45520
3084,690,1220,290,210,33935
3086,2120,3770,950,520,107567
3087,7220,15260,5090,1870,746510
3101,1780,2550,530,240,92352
3102,16050,26160,6680,3110,636317
3103,18330,31930,9780,2920,683546
3104,16760,27530,6760,3760,841720
3106,7360,13230,3520,1780,418527
3109,5620,9750,2500,1270,289874
3110,10980,22390,7460,2900,1089998
3215,210,370,90,90,15296
3216,1110,2030,560,280,48872
3217,1150,1900,450,310,39148
3218,580,1080,300,150,26321
3220,3570,6510,1770,850,144439
3221,1100,2040,520,330,47633
3222,2770,4870,1150,880,104150
3223,2150,3730,850,670,85499
3224,1260,2280,560,410,63946
3225,1810,3340,920,450,79109
3226,1120,1890,320,570,51053
3227,520,900,160,240,20011
3229,2990,5810,1680,1010,205024
3230,640,1140,270,180,24652
3231,150,250,40,80,4568
3233,200,320,60,90,9433
3234,2430,4430,1150,650,114600
3235,4170,7330,1960,1030,149312
3237,1220,2310,580,330,58921
3240,620,1140,290,170,22173
3241,450,790,140,200,15164
3242,2080,3730,980,560,107205
3243,510,920,230,140,20093
3244,3940,7100,1880,950,163850
3245,1020,1740,390,390,41297
3246,8010,13540,3290,2430,312340
3249,3740,6630,1630,1290,203234
3251,950,1480,300,300,37640
3253,3540,6060,1370,1260,157937
3254,2110,3650,830,800,93201
3255,1010,1850,470,380,52223
3256,1120,2120,560,310,50462
3257,2280,4030,810,1140,122822
3258,1320,2430,630,350,69655
3259,170,300,60,90,6420
3260,340,600,140,110,15927
3261,2350,4260,1120,570,114381
3262,700,1140,290,180,22127
3263,1930,3480,970,410,78103
3264,2400,4100,1040,670,94546
3266,1090,1860,420,330,36133
3268,650,1190,290,210,28756
3269,1540,2770,650,490,70112
3273,180,320,80,50,7249
3275,5970,10590,2810,1350,270441
3276,4270,7410,1960,960,170943
3278,1530,2770,700,440,76217
3279,350,620,160,110,9483
3280,580,1040,210,220,20924
3281,4540,8800,2670,870,250807
3282,450,820,200,150,15772
3284,410,780,220,100,18297
3285,770,1410,350,210,30349
3287,640,1170,280,220,31548
3290,2440,4690,1260,600,148409
3301,16140,27140,6940,4440,744919
3303,7720,13710,3690,1730,342066
3304,4000,8010,2470,1140,303524
3307,2880,5240,1340,820,133293
3431,11280,18870,4540,3180,480185
3440,1380,2490,650,370,55345
3441,210,380,110,40,7177
3442,710,1270,340,180,29250
3443,370,690,170,120,19121
3444,760,1390,320,310,33347
3445,400,710,170,100,16912
3446,3080,5460,1370,830,130662
3447,1180,2150,530,360,52961
3448,400,720,170,110,16017
3449,930,1700,370,400,44480
3450,480,860,170,210,19764
3451,2000,3530,900,510,72502
3452,2830,5000,1340,790,113694
3455,1080,1870,450,330,42032
3456,410,700,150,130,14307
3457,350,660,160,130,15951
3458,3480,6030,1450,1330,152759
3461,2630,5110,1520,690,126176
3462,840,1530,360,300,46625
3464,550,1000,230,170,25399
3465,1050,1860,500,220,37922
3466,680,1210,290,230,37526
3467,820,1500,340,290,39089
3470,2350,4210,1110,640,83012
3561,3210,5350,1270,950,113676
3570,3890,6750,1730,1080,119855
3574,1380,2340,550,400,52969
3575,140,170,0,0,3548
3576,1420,2470,540,470,45375
3579,200,330,40,90,6771
3580,800,1400,270,380,46092
3581,1590,2830,670,520,62779
3582,1120,2010,520,310,35006
3583,570,960,220,210,17593
3584,1750,3100,860,480,65630
3585,1310,2300,570,360,45655
3586,260,460,90,100,12139
3588,830,1450,310,250,29831
3590,390,680,160,120,10376
3592,520,880,150,230,13903
3593,170,270,30,90,5387
3595,310,530,80,110,10825
3597,190,330,90,60,4477
3598,1630,2850,680,460,51248
3601,210,390,110,70,7168
3602,1370,2440,600,440,54270
3603,2520,4470,1130,680,95984
3605,460,880,220,140,17621
3607,150,260,50,60,4835
3608,1460,2620,610,530,77216
3609,390,660,180,100,13331
3740,530,970,270,180,18818
3741,2140,3770,880,530,95566
3743,6560,11420,3050,1610,238865
3745,660,1130,240,230,31645
3746,200,340,60,70,7241
3748,2510,4190,860,720,130089
3750,500,1050,320,180,59845
3751,270,480,90,100,12200
3752,420,710,160,150,13374
3753,1810,3470,860,670,118559
3755,3590,6400,1730,1210,373568
3765,220,420,100,80,9753
3766,5300,8620,1860,1320,277699
3768,860,1640,470,310,91673
3770,360,690,210,100,24232
3771,430,830,220,130,17026
3773,3810,6680,1740,980,143497
3774,920,1610,380,290,32658
3777,640,1110,250,200,29523
3779,380,670,170,120,14557
3780,220,410,100,60,7784
3781,860,1540,370,250,52245
3782,1510,2720,630,520,114311
3784,2160,3490,750,650,103105
3785,1060,1820,510,290,31904
3801,12560,19880,4240,3220,854160
3809,2000,3560,890,620,87625
3810,910,1620,320,380,43064
3811,3880,6870,1680,1330,247340
3812,330,500,90,110,9260
3813,1670,2930,690,560,59927
3814,1130,2000,520,350,33865
3816,570,1030,240,210,20453
3817,340,570,110,120,11875
3818,2150,3650,910,620,72272
3819,2180,4000,1100,450,123343
3820,16750,27740,6790,3620,867581
3823,920,1840,570,210,81073
3824,3210,5870,1660,1010,227806
3825,4690,8790,2440,1040,261786
3826,1540,2630,580,500,82711
3827,1670,3130,810,540,105398
3830,730,1300,280,260,31626
3832,170,290,30,90,4814
3833,11560,20900,5810,3500,784488
3835,3390,5990,1580,710,134896
3836,770,1310,220,380,23465
3837,650,1220,310,200,28612
3838,800,1290,240,360,26836
3839,2060,3640,1030,380,88758
3840,2220,4110,1110,660,176901
3841,3400,6210,1680,1000,217980
3842,8760,14300,3060,2960,536160
3844,1290,2410,660,400,102843
3845,740,1180,230,270,28368
3846,500,860,140,240,25827
3847,120,190,30,60,4573
3848,3420,5920,1390,910,181325
3849,710,1230,300,210,26223
3850,290,470,70,170,13906
3851,2050,3600,900,510,89491
3852,280,560,160,70,12073
3853,330,590,110,190,15141
3854,580,1010,200,310,61711
3855,1440,2590,640,380,69207
3856,960,1820,540,210,81837
3857,5040,8220,1820,1070,271448
3858,2460,4510,1170,590,146593
3860,2340,3850,870,760,78961
3861,2170,4060,1150,510,131599
3862,2660,4620,1100,950,231421
3864,840,1460,390,250,25702
3865,4380,7580,1980,1050,225581
3867,10690,18530,4860,2500,429014
3868,3030,5340,1330,870,120757
3869,1360,2360,590,340,70226
3870,2840,5010,1220,1090,230136
3871,300,480,100,150,27736
3872,2010,3660,880,640,78153
3873,3250,6070,1700,640,192751
3874,5160,8320,1850,1530,225239
3875,450,800,170,180,16653
3878,6340,10910,2890,1280,264583
