zipcode,Number of Returns,Number of Exemptions,NUMDEP,ELDERLY,Salaries and wages amount
19979,400,710,200,100,13644
20001,25720,34500,6090,2090,1920873
20002,34320,51540,12560,3850,2303254
20003,16710,24870,4650,2180,1486695
20004,1010,1330,130,180,121003
20005,7620,9270,870,750,652553
20006,570,770,130,120,40459
20007,12390,18790,3500,3090,1381849
20008,16660,23610,3460,4280,1624009
20009,31590,40730,5600,3230,2474844
20010,18740,27160,6230,1850,1067550
20011,37170,61880,19090,7240,1789076
20012,7920,13720,3990,2260,495300
20015,7630,14820,4220,2850,924794
20016,14020,24270,6000,4740,1740844
20017,9950,15900,4390,2340,528620
20018,9510,15970,5110,2260,478432
20019,28290,50650,21210,4890,883235
20020,24200,43760,18240,4270,794367
20024,7700,10540,1940,1480,478546
20032,16350,31370,13780,2200,499600
20036,3520,4160,290,550,293078
20037,4960,6040,450,1210,439505
20105,10660,26680,10520,1220,1184286
20106,2340,4620,1270,710,126874
20109,19200,37130,13340,2260,788336
20110,22180,44450,16010,3720,1088811
20111,17260,35180,12760,2530,891621
20112,12800,27400,9370,2760,1018152
20115,2690,5260,1570,720,168429
20117,800,1480,430,240,81206
20118,900,1480,300,410,56985
20119,1920,3690,1130,480,101307
20120,19900,40340,13450,3420,1525044
20121,13900,26720,8820,1780,840555
20124,6990,14900,4850,1890,761844
20129,290,580,190,90,30892
20130,140,250,70,40,8270
20132,7090,16070,6080,1430,685302
20135,1350,2500,610,400,86788
20136,13080,30670,12310,1590,1104149
20137,950,1850,520,310,65478
20139,120,220,50,50,6027
20141,3040,7220,2820,570,289614
20143,580,1130,320,180,46884
20144,460,840,200,170,36238
20147,29580,61550,21280,5690,2646517
20148,21050,53700,21790,1750,2701882
20151,10380,21780,7740,1970,760918
20152,14200,34650,13810,1530,1494934
20155,16060,35150,12330,3770,1262146
20158,1960,4240,1470,480,194895
20164,20360,39170,13010,3330,1001543
20165,15910,32960,11050,3010,1458660
20166,6070,11940,3940,630,428726
20169,11310,25780,9240,2630,1093252
20170,20680,40940,13620,3670,1465515
20171,23300,48980,16160,3770,2354218
20175,14250,29940,10540,2530,1441689
20176,22360,48920,18030,4150,2056857
20180,3520,7680,2580,890,291718
20181,4220,8780,2890,1040,307583
20184,210,420,140,70,16920
20186,6980,13390,4160,1900,406535
20187,8120,17520,5900,2130,634835
20190,10050,16570,3840,2310,892281
20191,14690,27280,7830,3600,1102822
20194,6750,12280,3220,1630,744733
20197,1000,2260,790,310,124840
20198,960,1800,460,340,61566
20601,13160,24770,8390,2380,710214
20602,13280,25030,9210,1920,666287
20603,15370,30170,11030,2310,977081
20606,150,270,70,50,6606
20607,6110,11630,3710,1310,419039
20608,410,740,200,120,19245
20609,550,1020,260,180,28077
20611,520,980,270,160,29406
20612,130,250,70,40,5797
20613,7530,14020,4490,1550,463972
20615,190,350,80,60,9821
20616,3490,6680,2480,560,192418
20617,500,930,240,190,28859
20618,370,720,210,100,17184
20619,6210,12390,4120,1130,401055
20620,730,1430,470,150,43284
20621,750,1350,380,200,35581
20622,2230,4450,1390,580,125449
20623,1570,2860,930,330,100807
20624,620,1170,340,150,34070
20625,400,710,170,120,17429
20626,180,330,90,60,10696
20628,280,570,160,80,17973
20629,270,460,100,100,15584
20630,260,510,140,80,19886
20632,250,460,140,60,13073
20634,3500,6880,2360,520,202032
20636,5030,10140,3170,1180,330665
20637,2880,5490,1570,670,197092
20639,7500,15320,5090,1790,522963
20640,4790,8830,2960,950,223314
20645,380,820,240,150,26337
20646,9990,18910,5720,2580,594824
20650,6420,13420,4570,1540,446125
20653,10750,21220,7560,1540,552209
20657,9130,17910,5940,1690,491532
20658,530,970,240,170,24482
20659,11260,22740,7470,2380,642949
20660,100,180,50,30,4423
20662,1240,2360,730,340,55796
20664,1330,2550,800,370,62771
20667,240,410,100,80,11294
20670,540,1220,430,30,28554
20674,410,720,180,140,24263
20675,870,1620,430,270,51181
20676,1710,3280,970,440,104842
20677,1250,2350,660,360,85408
20678,5720,11030,3550,1260,316104
20680,420,760,190,180,17656
20684,570,1130,320,160,34358
20685,3270,6320,1930,760,198960
20686,150,250,40,70,7749
20687,140,260,70,50,6803
20688,1110,1810,290,660,51172
20689,890,1840,590,240,63764
20690,380,790,230,120,27164
20692,550,1000,240,170,33366
20693,560,1020,270,170,32718
20695,5650,10720,3570,1320,335689
20705,14830,27230,9250,2690,637207
20706,21890,42310,16460,4180,876046
20707,19290,34250,10800,3650,956381
20708,13530,24850,8900,1990,601647
20710,4810,9380,3970,660,142346
20711,3320,6390,2100,870,165533
20712,4730,8050,2610,720,168612
20714,2320,4050,1120,550,128461
20715,13130,24580,7510,3630,767975
20716,11570,20310,6420,2390,693901
20720,12250,23610,8130,2520,865040
20721,15510,28100,9060,4260,1014018
20722,3280,6010,2200,560,109736
20723,15940,32370,11490,2660,1135344
20724,9270,17050,5820,1250,504743
20732,5020,9980,3350,1050,320962
20733,1510,2740,740,390,88298
20735,20150,35830,11520,5020,1047244
20736,4460,8930,2820,1190,317370
20737,11650,24760,10950,1230,367766
20740,11440,18470,4920,2130,490201
20743,19890,34750,12940,4080,708091
20744,28270,49350,15070,7810,1325764
20745,15770,27820,9990,2800,573829
20746,15300,26160,9540,2780,587801
20747,20380,35040,12730,4130,764889
20748,20350,34310,11480,5100,761018
20751,1200,2110,510,390,69999
20754,3560,6940,2070,1070,245127
20755,3820,9240,3660,130,184045
20758,390,730,170,140,25719
20759,2750,6100,2120,540,380508
20762,1230,2850,1010,30,61512
20763,1340,2450,830,200,61867
20764,2170,3970,1120,580,123246
20765,290,470,90,120,14491
20769,3660,6990,2350,930,243309
20770,13410,23410,7960,2380,587886
20772,24270,43110,13710,5080,1518217
20774,26320,45670,14630,6230,1514115
20776,1620,3090,900,510,102958
20777,1690,3520,1140,530,177182
20778,920,1750,440,310,71657
20779,640,1180,290,250,45705
20781,7040,13770,5320,960,300347
20782,17470,30540,10240,2780,653965
