,population_density,median_household_income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year,population
518,15487,38305,25820,24474,12774,9256,867,8941,362,15532,4733,3306,1748,2933,1256,319,119,11704,13135,1462,3335,1038,173,207,8597,541,1131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,1100
519,44,42997,1766,1710,3281,131,5,5,2,20,322,442,95,388,46,75,19,482,1548,92,194,167,13,0,730,38,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,33470
520,4356,16069,4329,2443,2661,3706,33,205,4,45,1759,394,202,203,76,34,57,874,2800,232,406,295,97,62,463,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,10560
521,5716,42546,9156,6327,7217,7516,48,292,4,107,2306,1017,474,1144,626,343,467,1172,3438,451,2068,1195,425,257,1161,163,215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,16510
522,1880,50177,4649,3462,4948,2276,36,135,10,549,1004,497,462,647,432,120,160,1233,2839,379,1140,562,187,95,833,13,131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,46670
524,846,48947,667,357,711,270,6,18,0,4,140,108,140,71,86,26,57,19,369,0,261,92,46,28,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,22160
525,1159,20227,618,439,589,434,6,9,1,2,244,48,79,66,10,0,21,99,270,21,108,64,10,3,11,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,28650
526,1021,47094,15661,16833,22539,7683,111,226,11,1257,3565,2726,2025,2766,1282,322,365,2567,12162,1986,3617,1372,421,218,5392,528,644,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,6850
527,28793,95556,5381,5729,7568,757,29,2255,5,180,984,596,611,1144,1562,659,812,106,1220,289,3199,1852,841,425,17,221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,48050
528,7447,24609,22354,22660,25186,11239,288,762,23,5246,9160,4495,1567,1800,737,185,196,7716,15125,1450,2689,966,297,204,6539,1605,924,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,26400
